label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Aircraft,178,262,1102,293,Kopie van 00db76f676528477c66c93c7d24d7524.jpg,1280,857
Aircraft,65,291,1150,297,Kopie van 014313402292d8dbc688f9f1c50fa0ad.jpg,1280,853
Aircraft,54,22,1173,684,Kopie van 01742519344097097dd43a29597b885d.jpg,1280,836
Aircraft,188,201,425,702,Kopie van 01bcd847232dd6d65ed07606fd537400.jpg,800,1162
Aircraft,303,739,70,136,Kopie van 024935fca7e34a4ffd001a205eadbe58.jpg,1920,1281
Aircraft,1229,562,158,181,Kopie van 024935fca7e34a4ffd001a205eadbe58.jpg,1920,1281
Aircraft,27,90,934,392,Kopie van 02cf490c16553169edf7a31d27cea041.jpg,1000,650
Aircraft,1861,1463,1417,411,Kopie van 02d89056396c51893367c9d977e43568.jpg,5617,2933
Aircraft,4398,1086,788,225,Kopie van 02d89056396c51893367c9d977e43568.jpg,5617,2933
Aircraft,741,849,638,337,Kopie van 03541937a2b938d05390468fbf3275d1.jpg,3360,2240
Aircraft,1478,1015,606,285,Kopie van 03541937a2b938d05390468fbf3275d1.jpg,3360,2240
Aircraft,2381,1162,614,281,Kopie van 03541937a2b938d05390468fbf3275d1.jpg,3360,2240
Aircraft,248,514,288,253,Kopie van 03d365acd71faea9e796a25e6e9e4413.jpg,784,1197
Aircraft,119,356,112,170,Kopie van 0435764224465e7b36c0dcf472719eb1.jpg,1200,801
Aircraft,310,156,444,347,Kopie van 0435764224465e7b36c0dcf472719eb1.jpg,1200,801
Aircraft,1010,359,123,181,Kopie van 0435764224465e7b36c0dcf472719eb1.jpg,1200,801
Aircraft,541,97,129,39,Kopie van 04705e0911ce7e3dfebf94037d3acdb7.jpg,800,700
Aircraft,239,110,539,123,Kopie van 04705e0911ce7e3dfebf94037d3acdb7.jpg,800,700
Aircraft,19,159,634,184,Kopie van 04705e0911ce7e3dfebf94037d3acdb7.jpg,800,700
Aircraft,32,493,539,201,Kopie van 04705e0911ce7e3dfebf94037d3acdb7.jpg,800,700
Aircraft,405,473,395,156,Kopie van 04705e0911ce7e3dfebf94037d3acdb7.jpg,800,700
Aircraft,205,133,479,383,Kopie van 04e5c9cb77756c7ec6a1fb93ac9baa36.jpg,960,640
Aircraft,59,111,720,357,Kopie van 052001ef703d438a786bcb0a8fadf88f.jpg,1440,960
Aircraft,678,579,217,88,Kopie van 052001ef703d438a786bcb0a8fadf88f.jpg,1440,960
Aircraft,1075,523,287,267,Kopie van 052001ef703d438a786bcb0a8fadf88f.jpg,1440,960
Aircraft,73,276,599,358,Kopie van 059338d7fb2c2ce8cdb52d0e2fc6f002.jpg,744,752
Aircraft,153,132,312,160,Kopie van 059338d7fb2c2ce8cdb52d0e2fc6f002.jpg,744,752
Aircraft,993,658,421,96,Kopie van 05b8a34a6c9a898aa7beb5665762c921.jpg,2048,1536
Aircraft,383,81,154,109,Kopie van 05bffd1eba22e9a331895fb4db3a7aa7.jpg,762,345
Aircraft,235,273,260,119,Kopie van 065277d6aed4a22439c9926f7df8b097.jpg,1200,720
Aircraft,722,180,269,133,Kopie van 065277d6aed4a22439c9926f7df8b097.jpg,1200,720
Aircraft,220,128,491,451,Kopie van 067561fc4337c9b44a4774cbcc975aba.jpg,960,673
Aircraft,1452,1477,472,172,Kopie van 08495f9c379ea65a152f42565a8515c6.jpg,5196,2470
Aircraft,16,240,1489,413,Kopie van 0d4fe26b6df3e74aeccf1865f93c6328.jpg,1536,921
Aircraft,596,246,831,216,Kopie van 0d4fe26b6df3e74aeccf1865f93c6328.jpg,1536,921
Aircraft,327,201,529,168,Kopie van 0d77c2ad00bcbe06181a893b0b2f82c8.jpg,960,654
Aircraft,80,300,567,192,Kopie van 0d77c2ad00bcbe06181a893b0b2f82c8.jpg,960,654
Aircraft,116,23,336,608,Kopie van 0dce6f682b42122f9acd94206b280637.jpg,640,640
Aircraft,470,54,243,226,Kopie van 0e1709a00be5b18965910740a8ba0a71.jpg,1200,800
Aircraft,22,26,217,81,Kopie van 0e56567500eab512cbf7f349d5a98341.jpg,500,317
Aircraft,180,133,195,62,Kopie van 0e56567500eab512cbf7f349d5a98341.jpg,500,317
Aircraft,37,221,605,164,Kopie van 0e8b02060934f5bc9c770309faaf9e85.jpg,1024,654
Aircraft,797,316,150,52,Kopie van 0e8b02060934f5bc9c770309faaf9e85.jpg,1024,654
Aircraft,194,250,608,274,Kopie van 0e927d631150f82d8a2c45f39bc9923d.jpg,1023,795
Aircraft,474,318,146,157,Kopie van 0ec481f1421ca935b4dc8df851481f17.jpg,722,995
Aircraft,175,49,512,122,Kopie van 0ecb0afee47001d7fc35dacec2e2dcb7.jpg,700,312
Aircraft,32,293,887,433,Kopie van 0ee6a43e1923fb14ef405e84ef02b3b2.jpg,1170,773
Aircraft,495,124,614,218,Kopie van 0ee6a43e1923fb14ef405e84ef02b3b2.jpg,1170,773
Aircraft,573,80,499,163,Kopie van 0ee6a43e1923fb14ef405e84ef02b3b2.jpg,1170,773
Aircraft,746,401,379,121,Kopie van 0efd5339bca8bf580fd6f42b43398c18.jpg,2048,1364
Aircraft,853,567,205,82,Kopie van 0efd5339bca8bf580fd6f42b43398c18.jpg,2048,1364
Aircraft,857,640,186,58,Kopie van 0efd5339bca8bf580fd6f42b43398c18.jpg,2048,1364
Aircraft,954,623,725,181,Kopie van 0efd5339bca8bf580fd6f42b43398c18.jpg,2048,1364
Aircraft,172,158,488,111,Kopie van 0f8b4ba75a5728e792a816ac06ae149b.jpg,900,675
Aircraft,249,537,255,97,Kopie van 0f8b4ba75a5728e792a816ac06ae149b.jpg,900,675
Aircraft,287,41,470,658,Kopie van 11754a3371befa1fd13ae943289c318b.jpg,1200,800
Aircraft,246,66,480,270,Kopie van 129458fba613443e4e89c0bf2fe6805c.jpg,1200,778
Aircraft,112,302,1026,308,Kopie van 129458fba613443e4e89c0bf2fe6805c.jpg,1200,778
