label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
aircraft,725,590,621,392,Kopie van 0036c2784a5b8b2a4a1a4bd9109eb2f7.jpg,2048,1328
aircraft,326,53,556,400,Kopie van 008fb1ddb011b63cc0b9c6107e79589f.jpg,1024,723
aircraft,198,349,486,319,Kopie van 008fb1ddb011b63cc0b9c6107e79589f.jpg,1024,723
aircraft,286,147,1248,916,Kopie van 012c84db283e21907b9ccddfaec7e1ff.jpg,1920,1280
aircraft,739,523,195,147,Kopie van 025b1fabecb7f37e355c0a0e0c6fdea0.jpg,1920,1080
aircraft,801,244,891,220,Kopie van 032ca8dc56e66347dc111b9d2bca2c94.jpg,2000,1335
aircraft,1359,970,198,96,Kopie van 032ca8dc56e66347dc111b9d2bca2c94.jpg,2000,1335
aircraft,712,934,198,62,Kopie van 032ca8dc56e66347dc111b9d2bca2c94.jpg,2000,1335
aircraft,141,884,208,72,Kopie van 032ca8dc56e66347dc111b9d2bca2c94.jpg,2000,1335
aircraft,39,130,639,229,Kopie van 034c44a6029162f6e955bc5cc523dce9.jpg,680,460
aircraft,1751,538,453,133,Kopie van 038ca3bc0953fb245881c645daabc02b.jpg,2400,1470
aircraft,374,504,459,136,Kopie van 038ca3bc0953fb245881c645daabc02b.jpg,2400,1470
aircraft,300,739,448,119,Kopie van 038ca3bc0953fb245881c645daabc02b.jpg,2400,1470
aircraft,28,171,1145,368,Kopie van 050a9b7530e2e02211ee387f0e528dec.jpg,1200,675
aircraft,129,267,885,222,Kopie van 05f1f551c874aca4ea2769cc0d99d288.jpg,1275,1024
aircraft,419,509,683,176,Kopie van 05f1f551c874aca4ea2769cc0d99d288.jpg,1275,1024
aircraft,261,75,626,795,Kopie van 05f663cf71b79fd7a084101138ceb2db.jpg,1700,1133
aircraft,1714,1354,1131,649,Kopie van 061c66250967a10ca840c00d844839cc.jpg,3888,2592
aircraft,917,464,1178,677,Kopie van 061c66250967a10ca840c00d844839cc.jpg,3888,2592
aircraft,296,312,418,137,Kopie van 067a97214e2dd6c1423bf1306e1baea6.jpg,1280,852
aircraft,702,323,491,140,Kopie van 067a97214e2dd6c1423bf1306e1baea6.jpg,1280,852
aircraft,48,405,805,201,Kopie van 067a97214e2dd6c1423bf1306e1baea6.jpg,1280,852
aircraft,195,277,585,95,Kopie van 06ac754d8b522bef541927503dead0c4.jpg,960,639
aircraft,189,174,867,514,Kopie van 06c47f77e389d8461799b219559b2c61.jpg,1280,853
aircraft,1229,615,588,231,Kopie van 07e5a3d7318bc90c05256c082bee9acd.jpg,1920,1279
aircraft,110,352,574,247,Kopie van 07e5a3d7318bc90c05256c082bee9acd.jpg,1920,1279
aircraft,248,84,1695,1350,Kopie van 07f84f3fcb154534fbb8f645a195e277.jpg,2264,1509
aircraft,198,60,1484,927,Kopie van 07ff63ce0a662670b47afe6ed5b5af27.jpg,1919,1280
aircraft,376,254,483,586,Kopie van 08c8c73d9d3c6d8c31eca244c3bff228.jpg,1280,981
aircraft,897,336,161,106,Kopie van 08cef3612f0287919de768e5f040144a.jpg,1200,900
aircraft,479,383,2116,1561,Kopie van 09b1d6b69ad7c35d07567f4edab0252f.jpg,3528,2352
aircraft,1004,2282,229,96,Kopie van 09b87d6257ef7d8adbf315e09f3d9900.jpg,2731,4096
aircraft,939,406,387,136,Kopie van 09c31c9c8acf27ece476a67280b27a8f.jpg,2000,1335
aircraft,283,220,429,211,Kopie van 09e49efa257ad0224fdc0dddfedb9337.jpg,1000,634
aircraft,1041,489,165,41,Kopie van 10ae77c7e0b76d50578c761f01a18854.jpg,1741,1024
aircraft,479,506,485,134,Kopie van 10ae77c7e0b76d50578c761f01a18854.jpg,1741,1024
aircraft,94,77,1125,458,Kopie van 10b5be01a0076494be580195fba068b9.jpg,1300,865
aircraft,10,76,439,127,Kopie van 10c4cb7e678a08be3ea77a41aebe421a.jpg,1200,800
aircraft,363,212,431,125,Kopie van 10c4cb7e678a08be3ea77a41aebe421a.jpg,1200,800
aircraft,767,361,424,123,Kopie van 10c4cb7e678a08be3ea77a41aebe421a.jpg,1200,800
aircraft,90,618,408,120,Kopie van 10c4cb7e678a08be3ea77a41aebe421a.jpg,1200,800
aircraft,423,478,418,114,Kopie van 10c4cb7e678a08be3ea77a41aebe421a.jpg,1200,800
aircraft,146,343,259,63,Kopie van 10da402aefeaa1e06204db89c250daf8.jpg,1200,800
aircraft,246,296,471,68,Kopie van 10f69dc9491df46ad1ea0468ecf36930.jpg,960,640
aircraft,409,246,665,169,Kopie van 11d63b7260b91e3eaa6da151890b4542.jpg,1136,852
aircraft,78,391,341,86,Kopie van 11d63b7260b91e3eaa6da151890b4542.jpg,1136,852
aircraft,3,373,1133,323,Kopie van 11d63b7260b91e3eaa6da151890b4542.jpg,1136,852
aircraft,419,189,539,407,Kopie van 11fb18bc1541272620efcadf3b7f9886.jpg,1200,720
aircraft,497,129,524,386,Kopie van 11fb18bc1541272620efcadf3b7f9886.jpg,1200,720
aircraft,163,573,241,84,Kopie van 12a6f766fa84d9783d26ac5bde48970d.jpg,1280,852
aircraft,524,244,226,178,Kopie van 12a6f766fa84d9783d26ac5bde48970d.jpg,1280,852
aircraft,845,569,200,55,Kopie van 12a6f766fa84d9783d26ac5bde48970d.jpg,1280,852
aircraft,1091,154,662,874,Kopie van 12c2eca11bd20108af4cc8cfa356296a.jpg,2048,1365
aircraft,5,405,1306,496,Kopie van 12c2eca11bd20108af4cc8cfa356296a.jpg,2048,1365
aircraft,267,462,209,67,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
aircraft,295,362,177,46,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
aircraft,273,350,128,34,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
aircraft,670,364,129,33,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
aircraft,442,236,470,116,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
aircraft,405,18,518,163,Kopie van 12cd0b326e3445d0c19f49c1cdfaaa5d.jpg,1200,630
